Doctor_English,Patient_Yoruba,Clinical_Translation_English,diacritic_risk
"Have you been given any physiotherapy after your stroke, and have you been able to continue the exercises at home?",A fún mi ní àṣà ìdárayá lẹ́yìn ìjàǹbá ọpọlọ mi ní ilé ìwòsàn. Ṣùgbọ́n mi ò tẹ̀síwájú ní ilé nítorí mi ò ní ẹni tó ràn mí lọ́wọ́.,"Post-stroke physiotherapy commenced in hospital with home exercise programme not maintained due to absence of a carer, indicating the need for community rehabilitation services, home visit physiotherapy, and carer training to optimise neurological recovery.",LOW
"Has anyone ever told you that your oxygen levels are low, and have you ever needed oxygen at home?","Dọ́kítà wọn atẹ́gunfẹ́ mi ní ọdún kan sẹ́yìn, ó sọ pé ó wà ní ìwọ̀n àádọ́rùn-ún lára ọgọ́rùn-ún. Kò fún mi ní àwọn atẹ́gunfẹ́ ní ilé.","Resting oxygen saturation of ninety percent without long-term oxygen therapy prescribed, indicating possible undertreated chronic hypoxaemia from COPD or interstitial lung disease, requiring arterial blood gas, pulmonary function tests, and home oxygen assessment.",LOW
"Have you been told you might have pneumonia before, and how were you treated?","Ní ọdún méjì sẹ́yìn, dọ́kítà sọ pé mo ní pneumonia. A fún mi ní oògùn ní ilé, kò sí ìwọ X-ray. Mo dára lẹ́yìn ọ̀sẹ̀ méjì.","Prior pneumonia treated empirically without chest X-ray confirmation or post-treatment follow-up imaging, creating risk of unresolved consolidation, malignancy presenting as pneumonia, or a structural lung abnormality predisposing to recurrent infection.",LOW
"Have you had any problems with anaesthesia before, such as waking up during an operation or feeling very sick afterwards?","Ní iṣẹ́ abẹ àkọ́kọ́ mi, wọ́n sọ pé mo jí nígbà tí wọ́n ṣì ń ṣiṣẹ́ lórí mi. Mo ń gbọ́ ohùn wọn ṣùgbọ́n kò lè sọ rẹ̀. Ó jẹ mí ẹ̀rù.",Prior intraoperative awareness under anaesthesia constituting a critical anaesthetic history requiring depth of anaesthesia monitoring with BIS or entropy during all subsequent procedures and pre-operative psychological support for anaesthesia-related trauma.,LOW
"Have you been experiencing intrusive thoughts that you find disturbing and cannot stop, even though you know they make no sense?",Ìrọ̀lẹ́ bùrúkú máa ń wá sí inú mi lójijì tí mi ò fẹ́ rárá. Mo mọ̀ pé wọn kò ní ọgbọ́n ṣùgbọ́n wọn kò lọ. Ó ń jẹ mí lọ́pọ̀lọpọ̀.,"Ego-dystonic intrusive thoughts recognised as senseless by the patient but uncontrollable, the defining feature of obsessions in obsessive-compulsive disorder, requiring cognitive-behavioural therapy with exposure and response prevention.",LOW
Have you recently had a fall at home that you did not tell anyone about because you were embarrassed?,"Bẹ́ẹ̀ ni, mo ṣubú nínú ìwẹ̀ ní ọ̀sẹ̀ mẹ́ta sẹ́yìn. Mo kò sọ fún ẹnikẹ́ni nítorí ìdọ̀tí. Mo dúró lórí ilẹ̀ fún wákàtí méjì kí ó tó lè dìde.","Undisclosed fall at home with a two-hour period of being unable to rise, indicating a long lie which is associated with dehydration, pressure injury, hypothermia, and rhabdomyolysis, requiring assessment for these complications alongside formal falls risk evaluation.",LOW
"Does the skin itching get worse after a hot shower or bath, and how quickly does it start?",Ín-ín mi ń bẹ̀rẹ̀ ní ìṣẹ́jú méjì lẹ́yìn tí mo bá jáde nínú omi gbígbóná. Ó ń burú jù lẹ́yìn ìwẹ̀ gbígbóná.,"Aquagenic pruritus triggered within minutes of hot water exposure without a primary skin lesion, a distinctive pattern associated with polycythaemia vera and requiring full blood count with red cell mass measurement.",LOW
"Has the baby passed their first stool, and what colour was it?","Ọmọ mi kò tíì ṣe ìgbẹ́ kankan fún wákàtí mẹ́ẹ̀ẹ́dọ́gbọ̀n lẹ́yìn ìbímọ. Mo ti ń rọ ara mi, ìdílé mi sọ pé ó máa ń gba àkókò.","Failure to pass meconium within forty-eight hours of birth, which excludes normal meconium passage in the first twenty-four hours, raises concern for Hirschsprung's disease, meconium ileus in cystic fibrosis, or imperforate anus requiring urgent neonatal surgical assessment.",LOW
Have you been told you carry the sickle cell trait and have you discussed this with your partner?,"Bẹ́ẹ̀ ni, mo ní àrùn ẹ̀jẹ̀ ààyọ àbọ̀. Ìyàwó mi kò mọ̀ ìpò rẹ̀. A ń gbìyànjú láti bí ọmọ àkọ́kọ́ wa.","Sickle cell trait carrier attempting conception with partner of unknown status, requiring urgent partner testing and pre-conception genetic counselling.",LOW
"Have you been experiencing any hot flushes, night sweats, or mood changes recently?","Mo máa ń ní ìgbóná lójijì tó ń tan gbogbo ara, pàápàá ní alẹ́. Ìwà mi tún ti yí padà, mo ti di aláìsùúrù.","Vasomotor symptoms with nocturnal diaphoresis and emotional lability in a woman of appropriate age, consistent with perimenopausal transition requiring hormonal and psychological assessment.",LOW
Has the problem affected your confidence or willingness to go out in public?,Mo ti dáwọ̀ jáde ilé nítorí ìbẹ̀rù pé àrùn mi yóò ṣẹlẹ̀ ní gbangba. Mo ń gbé ìgbé ayé àdéhùn nínú ilé.,"Agoraphobic avoidance secondary to chronic illness fear of public symptom occurrence, a significant psychological complication of chronic disease requiring psychological support, graded exposure therapy, and reassurance about emergency management strategies.",LOW
"Have you noticed any lumps, bumps, or unusual growths anywhere on your body recently?","Mo rí ohun tó dà bíi èso ní ẹ̀gbẹ́ ọrùn mi tó ti ń pọ̀ sí i fún ọjọ́ mẹ́wàá. Kò ń dùn, ṣùgbọ́n ó ti pọ̀.","Painless, progressively enlarging cervical lymph node over ten days without associated tenderness, raising concern for lymphoma, metastatic malignancy, or chronic infection such as tuberculosis.",LOW
"How long have you been experiencing this weakness in your hand, and is it affecting your dominant hand?",Ọwọ́ ọ̀tún mi ti ń di àìlera fún oṣù mẹ́fà. Ó ń ṣe mí ìṣòro láti kọ àti mu nǹkan. Ọwọ́ ọ̀tún ni mo ń lo fún gbogbo nǹkan.,"Progressive dominant hand weakness over six months causing writing and grip dysfunction, indicating a focal neurological lesion affecting the corticospinal tract or peripheral nerve supply to the hand requiring MRI brain and cervical spine, nerve conduction studies, and EMG.",LOW
Have you been having any involuntary turning of your head to one side that you cannot control?,Orí mi máa ń yí padà sí apá ọ̀tún lórí ara rẹ̀ fún ìṣẹ́jú díẹ̀ àti dúró síbẹ̀. O ń ṣẹlẹ̀ fún oṣù mẹ́fà.,"Cervical dystonia with involuntary sustained head rotation consistent with spasmodic torticollis, requiring botulinum toxin injection and neurological assessment to exclude symptomatic dystonia from basal ganglia lesion.",LOW
Have you noticed any visible pulsation in your neck when you look in the mirror?,Mo rí nǹkan tó ń lu ní ẹ̀gbẹ́ ọrùn mi ọ̀tún nígbà tí mo bá wò inú dígí. O ń hàn kíáá. Mo ti rí i fún ọ̀sẹ̀ méjì.,"Visible carotid pulsation suggesting carotid artery aneurysm, carotid body tumour, or prominent carotid pulse from hypertension or aortic regurgitation requiring carotid ultrasound and cardiac assessment.",LOW
Have you ever been told you have a heart rhythm problem that runs in your family?,Bàbá mi kú lójijì ní ọjọ́-orí ogójì. Ẹ̀gbọ́n mi méjì tún ní ìṣòro ọkàn. Dọ́kítà sọ pé o lè jẹ́ àrùn ìdílé.,"Family history of sudden cardiac death and arrhythmia suggesting an inherited channelopathy such as long QT syndrome or Brugada syndrome requiring ECG, genetic testing, and cardiology assessment.",LOW
Have you recently stopped any long-term medication suddenly without your doctor's advice?,Mo dáwọ̀ mu oògùn irora ẹ̀gbẹ̀ mi dúró lójijì ní ọ̀sẹ̀ kan sẹ́yìn nítorí owó. Mi ò sọ fún dọ́kítà mi.,"Abrupt discontinuation of long-term prednisolone therapy one week ago without medical supervision, creating significant risk for adrenal crisis secondary to hypothalamic-pituitary-adrenal axis suppression, requiring urgent cortisol assessment and steroid reinstatement.",LOW
Have you been having any chest pain that occurs specifically after meals and not during exercise?,Irora àyà mi máa ń wáyé lẹ́yìn oúnjẹ nìkan. Ko ṣẹlẹ̀ nígbà ìdárayá rárá. Ó ń máa ń rọ lẹ́yìn wákàtí kan.,"Post-prandial chest pain without exertional trigger favouring oesophageal or gastric aetiology over ischaemia, requiring upper endoscopy and oesophageal manometry.",LOW
Have you ever been told you have a hole in your heart or a structural heart problem since childhood?,Dọ́kítà ọmọ sọ pé ọmọ mi ní iho nínú ọkàn rẹ̀ ní ọjọ́-orí ọdún kan. Wọ́n sọ pé yóò pa mọ́ fúnra rẹ̀ ṣùgbọ́n mi ò ṣe ìdánwò lẹ́yìn náà.,"Childhood diagnosis of a ventricular or atrial septal defect without adult follow-up echocardiography, creating risk of undetected haemodynamic progression, arrhythmia, paradoxical embolism, or pulmonary hypertension requiring urgent adult congenital heart disease clinic review.",LOW
Have you had any episodes where your vision went completely black for a few seconds before recovering?,"Lẹ́ẹ̀mẹ́ta, ojú mi di òkùnkùn pátápátá fún ìṣẹ́jú mẹ́ta ṣáájú kó tó padà. Mo ń dúró nígbà tí ó ń ṣẹlẹ̀.","Transient monocular or binocular visual loss lasting seconds to minutes with full recovery, consistent with amaurosis fugax from carotid artery disease or cardiac embolism, representing a transient ischaemic attack equivalent requiring urgent carotid imaging.",LOW
"Have you ever refused a blood transfusion before for religious or personal reasons, and is this still your wish?",Mo jẹ́ Ẹlẹ́rìí Jèhófà. Ìgbàgbọ́ mi kò jẹ́ kí n gba ẹjẹ̀ ẹlòmíràn. Mo ti kọ àjẹjẹ̀ lẹ́ẹ̀kan ní ilé ìwòsàn mìíràn.,"Jehovah's Witness patient with prior documented blood transfusion refusal on religious grounds, requiring respectful elicitation of current wishes with clear documentation, exploration of blood conservation alternatives, and advance decision-to-refuse treatment documentation.",LOW
Have you noticed any white patches on your skin that have completely lost their colour?,"Àwọn ìwọ̀ funfun ti fara hàn lórí ọwọ́ mi àti ẹ̀gbẹ́ ẹnu mi. Awọ ara wọn ti lọ pátápátá, wọ́n dín ju àwọ mi ìbílẹ̀ lọ.","Depigmented macules on the dorsum of the hands and perioral region with complete loss of melanin, consistent with vitiligo — an autoimmune condition requiring dermatological evaluation and psychological support given its cosmetic impact.",LOW
"Have you been able to attend all your antenatal appointments, or have any been missed due to transport or cost?",Mo ti padanu àwọn ìbẹ̀wò oyún mẹ́ta nítorí mi ò ní owó ìrìn-àjò àti ọkọ̀ tó ń lọ sí ilé ìwòsàn.,"Three missed antenatal appointments due to financial and transport barriers, representing a gap in obstetric care associated with increased risk for undetected complications such as pre-eclampsia, gestational diabetes, and foetal growth restriction.",LOW
Have you been experiencing any pressure sores or skin breakdown from sitting or lying in one position for long?,Ọgbẹ́ tó dùn wà ní ìdí mi àti ẹ̀gbẹ́ orúkún mi nítorí mo jókòó ní kẹ̀kẹ̀ fún wákàtí pípẹ́ lọ́pọ̀lọpọ̀.,"Pressure ulcers at the sacrum and lateral knee from prolonged wheelchair positioning without adequate pressure relief, requiring wound assessment, pressure-relieving cushion, repositioning schedule, and nutrition optimisation for wound healing.",LOW
"Have you been feeling very sad or hopeless for most of the day, nearly every day?","Inú mi ti dùn púpọ̀, mo ń bínú, mi ò sì ríran siwájú mọ́. Ó ti jẹ́ bẹ́ẹ̀ fún oṣù méjì.","Persistent low mood with anhedonia and hopelessness lasting two months, meeting the duration and symptom criteria for a major depressive episode requiring psychiatric evaluation and risk assessment.",LOW
"Have you lost interest in hobbies or activities you used to enjoy, such as visiting friends or going to church?","Mo ti dáwọ̀ lọ ṣọ́ọ̀bù dúró fún oṣù mẹ́fà, mi ò sì ń lọ ṣọ́ọ̀bì mọ́. Ó jẹ́ ohun tí mo fẹ́ rí ṣáájú.","Anhedonia with progressive withdrawal from previously enjoyed social and religious activities over six months, a significant symptom of late-life depression requiring antidepressant therapy and psychological support in the elderly.",LOW
Have you had any episodes of losing consciousness or collapsing without warning?,"Mo ṣubú lójijì ní ọjà ní ọjọ́ Ìṣẹ́gun. Kò sí ìkìlọ̀ kankan, mo sì kò mọ ohun tó ṣẹlẹ̀.","Unheralded syncopal episode in a public setting with no prodrome, requiring differentiation between cardiac syncope, vasovagal syncope, and epileptic seizure as a priority.",LOW
Have you been told your cholesterol is very high and is there a family history of early heart disease?,Ọ̀rá ẹjẹ̀ mi ga gan-an. Bàbá mi ní ìjàǹbá ọkàn ní ọjọ́-orí ogójì-àti-méjì. Ẹ̀gbọ́n mi tún ní àrùn ọkàn ní ọjọ́-orí àádọ́ta.,"Familial hypercholesterolaemia with premature cardiovascular family history requiring Simon Broome criteria assessment, genetic testing for LDLR mutation, and high-intensity statin therapy with ezetimibe.",LOW
Have you noticed any change in the shape or size of your abdomen on one side only?,Ẹ̀gbẹ́ ọ̀tún ikùn mi ti wú díẹ̀ síwájú sí i fún oṣù mẹ́fà. Ko dùn ṣùgbọ́n ó hàn nígbà tí mo bá wò inú dígí.,"Unilateral progressive abdominal asymmetry over six months without pain requiring abdominal CT to exclude hepatomegaly, splenomegaly, renal mass, or retroperitoneal tumour.",LOW
Have you noticed any drooping of your eyelid that has come on recently?,Ojú àpèrè mi ọ̀tún ti bẹ̀rẹ̀ sí rọ̀ lẹ́yìn ọjọ́ mẹ́wàá. Mo ní láti gbé orí mi ga láti rí dáradára. Ko dùn.,"Unilateral ptosis of recent onset requiring urgent assessment for Horner's syndrome from apical lung tumour, third nerve palsy from posterior communicating artery aneurysm, or myasthenia gravis.",LOW
"Has your child ever had swelling of the hands or feet as a baby, along with crying and irritability?","Bẹ́ẹ̀ ni, nígbà tí ọmọ mi jẹ́ oṣù mẹ́fà, ọwọ́ àti ẹsẹ̀ rẹ̀ wú, ó sì ń sọkún tó burú jù. A wọ ilé ìwòsàn fún ọjọ́ mẹ́ta.","Dactylitis in infancy with bilateral hand and foot swelling and pain crisis requiring hospitalisation, the earliest clinical manifestation of sickle cell disease, indicating the need for haemoglobin electrophoresis if not yet performed.",LOW
"Have you had any previous miscarriages, and were you given any explanation for why they occurred?","Mo ti sọ oyún nù lẹ́ẹ̀mẹ́ta, ọ̀kọ̀ọ̀kan ní ìsẹ̀yìn kẹ́ta. Dọ́kítà kò sọ ohun tó fa á.","Three consecutive first-trimester pregnancy losses without a documented aetiology, fulfilling the diagnostic criteria for recurrent miscarriage and necessitating investigation for antiphospholipid syndrome, chromosomal abnormalities, and uterine structural anomalies.",LOW
Does the back pain get better or worse with prolonged sitting at a desk?,Irora ẹ̀hin mi ń burú sí i nígbà tí mo bá jókòó fún wákàtí mẹ́fà lórí àga iṣẹ́. Ìrìn àti ìdárayá ń mú ki ó yẹ̀.,"Mechanical back pain worsened by prolonged sitting and relieved by movement and exercise, consistent with lumbar disc derangement or facet joint dysfunction responding to physiotherapy, ergonomic correction, and anti-inflammatory analgesia.",LOW
Have you noticed any progressive swelling of your leg or arm that has been getting larger over months?,Ẹsẹ̀ ọsì mi ti ń pọ̀ sí i díẹ̀díẹ̀ fún oṣù mẹ́fà. Ó ti pọ̀ tó jẹ́ kí bàtà mi má a jẹ mí. Kò ń dùn rárá.,"Progressive painless unilateral lower limb lymphoedema over six months in a patient from a malaria-endemic region, consistent with lymphatic filariasis caused by Wuchereria bancrofti, requiring nocturnal blood film for microfilaria and antifilarial therapy.",LOW
