"Doctor_English","Patient_Yoruba","Clinical_Translation_English"
"How long has your child been coughing, and does it worsen at night or with activity?","Ọmọ mi ti ń sọ̀rọ̀ ikọ́ fún ọjọ́ mẹ́fà. Ó máa ń burú sí i ní àárọ̀ àti nígbà tí ó bá ń sáré.","The child has experienced a productive cough for six days. Symptoms are exacerbated nocturnally and upon physical exertion."
"Can you describe the character of your chest pain — is it crushing, stabbing, or radiating to your arm or jaw?","Irora náà dájú gan-an, bí ẹni pé wọ́n ń gún mi. Ó ń tan sí apá òsì mi àti ẹ̀gbẹ́ ọrùn mi.","Patient reports acute, stabbing chest pain with radiation to the left upper extremity and the cervical region."
"Does the chest pain worsen when you breathe in deeply or change position?","Bẹ́ẹ̀ ni, nígbà tí mo bá mí jìnnà, irora náà máa ń burú sí i. Ó máa ń yẹ̀ díẹ̀ nígbà tí mo bá dúró gọ́gọ́.","Chest pain is exacerbated by deep inspiration and partially relieved by upright positioning, consistent with pleuritic involvement."
"Has the abdominal distension been progressive, and is it associated with any changes in bowel habits or urinary output?","Ikùn mi ti ń pọ̀ sí i díẹ̀díẹ̀ fún ọjọ́ méjìlá. Ìgbẹ́ mi ti di àìlera, àti pé mo ń ṣe ito díẹ̀ ní báyìí.","Progressive abdominal distension over twelve days, accompanied by constipation and oliguria."
"Is the visual disturbance affecting one eye or both, and have you experienced any associated headache or floaters?","Ojú méjèèjì mi ni wọ́n ń rọ. Mo tún ní orí fífọ̀ ìgbàgbogbo àti àwọn nǹkan kéékèèké tó ń fò nínú ojú mi.","Bilateral visual blurring accompanied by persistent headache and photopsia (floaters) over an eleven-day period."
"How high has the fever been, and have you noticed any associated rigors, confusion, or difficulty urinating?","Ibà mi ga púpọ̀, a fi ọwọ́ kan mí, ara mi gbóná gidigidi. Mo ti ń rìn pẹ̀lẹ́ẹ̀, àti pé àwọn ọmọ mi sọ pé mo ń sọ̀rọ̀ àjèjì.","High-grade fever with rigors and reported episodes of altered mentation (confusion noted by family members) over eleven days."
"Is the cough dry or productive, and have you noticed any blood-tinged sputum or associated shortness of breath?","Ikọ́ mi ní ìtọ́ àwọ̀ àárọ̀-àárọ̀ nínú. Mí mi tún kúrú síwájú sí i ní àwọn ọjọ́ mẹ́ta wọ̀nyí","Productive cough with mucopurulent sputum, accompanied by progressive dyspnoea over three days."
"Have you had any recent exposure to dust, smoke, or known allergens, and do you have a prior history of asthma or respiratory illness?","Mi ò ní àìsàn ẹ̀gbẹ̀ rí. Ṣùgbọ́n o mọ̀ pé ọkọ mi ń mu sìgá nínú ilé wa, ìyẹn ló máa ń jẹ́ kí ikọ́ mi burú.","No prior history of asthma or atopic disease. Persistent cough likely precipitated by chronic secondary tobacco smoke exposure in the domestic environment."
"Has the child had any rash, joint pains, or episodes of vomiting alongside the fever?","Bẹ́ẹ̀ ni, ọmọ mi ní àárẹ̀ ara àti ìgbagbe oúnjẹ. Ó ti ègbọn lẹ́ẹ̀mejì ní òní.","Pyrexia with associated malaise, anorexia, and two episodes of emesis noted on the day of presentation."
"Do you have a known history of diabetes mellitus or hypertension, and are you currently on any medications?","Àárọ̀ mi ga. Dọ́kítà ti fún mi ní oògùn ìpàná ẹjẹ̀, ṣùgbọ́n mi ò ti mú u fún ọjọ́ pàtàkì bí mẹ́ta.","Known hypertensive patient with documented non-compliance with antihypertensive medication for approximately three days. Visual disturbance likely secondary to uncontrolled hypertension."
"Has the child been tested for malaria, and has there been any convulsion or loss of consciousness during the febrile episodes?","Àgbàdo kò rà á dáadáa rí. Ó ń fọn àti ní ìbà tó ga. Ó yí padà lẹ́ẹ̀kan nígbà tí ìbà náà ga jù.","Child has not undergone malaria screening. Reports high-grade pyrexia with chills and a single episode of febrile convulsion at peak fever."
"Is the abdominal swelling localised or generalised, and is it associated with pain, nausea, or delayed menstruation?","Irora ìdọ̀tí ní apá ìsàlẹ̀ ikùn ni mo ní. Oṣù mi pẹ̀ẹ̀ fún ọjọ́ àádọ́ta. Mo ń bì àti ríru.","Lower abdominal pain with localised distension, associated with amenorrhoea for approximately fifty days, nausea, and vomiting. Ectopic pregnancy must be excluded."
"Did the visual disturbance begin suddenly or gradually, and have you experienced any recent headache or eye pain?","Ojú mi di rórò lójijì ní ọjọ́ àárọ̀ àárọ̀. Mo ní irora orí tó le àti ìmọ̀lẹ̀ tó ń bani lójú.","Sudden-onset bilateral visual blurring with associated severe headache and photophobia, commencing two days prior to presentation."
"Has there been any significant weight loss, night sweats, or contact with a person diagnosed with tuberculosis?","Àárẹ̀ pọ̀ mi ti ń padà kù, mo ń gbọn ní alẹ́, àti pé ìyá àgbà mi ni a ṣẹ̀ṣẹ̀ mú ibà ẹ̀dọ̀fóró jẹ.","Notable weight loss, nocturnal diaphoresis, and a history of household contact with a recently diagnosed pulmonary tuberculosis case."
"Have you been experiencing any eye discharge, redness, or increased sensitivity to light?","Ojú mi pupa àti omi ń jáde nínú rẹ̀ lọ́pọ̀lọpọ̀. Àwọ̀ funfun ló ń jáde. Ìmọ̀lẹ̀ máa ń jẹ́ kí ojú mi ṣàn.","Bilateral conjunctival hyperaemia with purulent ocular discharge and photophobia over four days, consistent with conjunctivitis or anterior uveitis."
