Doctor_English,Patient_Yoruba,Clinical_Translation_English,Direct_Translation_English
It's time for your baby's vaccination. Have you brought his immunization card?,"Bẹ́ẹ̀ni, mo mú un wá. Ṣe kò ní ṣe é lára púpọ̀ bíi ti tẹ́lẹ̀?","Yes, I brought it. Won't it affect him too much like before?","Yes, I brought it come. Will it not do him on body much like that before?"
Have you had any recent injuries or accidents?,"Bẹ́ẹ̀ni, mo ti ṣubú láti orí alùpùpù ní ọjọ́ méjì sẹ́yìn, orí mi sì lu ilẹ̀.","Yes, I fell off a motorcycle two days ago, and my head hit the ground.","Yes, I have fallen from head motorcycle at day two back, head my also hit ground."
Are you experiencing any vomiting or diarrhoea?,"Bẹ́ẹ̀ni, mo ti ń bì tí mo sì ń yàgbẹ́ tó ìgbà mẹ́ta lónìí.","Yes, I have vomited and had diarrhoea about three times today.","Yes, I have been vomiting and I have been stooling about three times today."
Do you have a sore throat? Is it difficult to swallow?,"Ọ̀nà ọ̀fun mi dùn, ó sì le mi láti gbé omi mì.","My throat is sore, and it is difficult for me to swallow water.","Path throat my pains, it also hard for me to swallow water."
How long have you been experiencing difficulty walking?,"Ó ti tó ọ̀sẹ̀ méjì báyìí tí ẹsẹ̀ mi ti ń rọ̀, kò sì gbára múlẹ̀.",It's been about two weeks now that my leg has been weak and unstable.,"It has about week two now that leg my has been weak, it not and stable."
Are your joints swollen or stiff this morning?,"Wọ́n wú, wọ́n sì le koko, mi ò sì lè fi ìka mi mú nǹkan.","They are swollen and very stiff, and I can't use my fingers to hold things.","They are swollen, they also are hard very, I not can with finger my hold thing."
Did you hit your head when you fell?,"Bẹ́ẹ̀ni, orí mi kọlu pẹ̀lú agbára, mo sì rí ìràwọ̀ díẹ̀.","Yes, I hit my head forcefully, and I saw some stars.","Yes, head my hit with force, I also saw stars little."
Good morning. What brings you to the hospital today?,"Ẹ káàárọ̀, Dókítà. Ibà gbígbóná ló mú mi wá ilé-ìwòsàn lónìí.","Good morning, Doctor. I have a high fever, which is why I came to the hospital today.","Good morning, Doctor. Fever hot it brought me come house-of-healing today."
Are you experiencing any swelling in your hands or face?,Ọwọ́ àti ojú mi ti wú púpọ̀ láti àárọ̀ yìí.,My hands and face have swollen a lot since this morning.,My hands and face have swollen much from this morning.
When was your last menstrual period?,"Oṣù tó kọjá ni, ní ọjọ́ kẹẹ̀ẹ́dógún.","It was last month, on the fifteenth.","Month that passed it was, in day fifteenth."
Do you have a sore throat?,"Bẹ́ẹ̀ni, ọ̀fun mi gbẹ, ó sì ń dun mí nígbà gbogbo tí mo bá fẹ́ gbé nǹkan mì.","Yes, my throat is dry, and it hurts whenever I try to swallow something.","Yes, throat my is dry, it also is hurting me always when I want to swallow something."
